datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent)
2018-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,29.64,0.01,0.00,0.00
2018-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,25.72,0.01,0.00,0.00
2018-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,15.14,0.05,0.00,0.00
2018-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,8.06,0.02,0.00,0.01
2018-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.38,0.02,0.00,0.20
2019-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.86,0.08,0.01,1.06
2019-02-28,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.19,0.15,0.04,2.53
2019-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.65,0.09,0.00,0.47
2019-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,16.18,0.04,0.00,0.00
2019-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,16.36,0.06,0.00,0.00
2019-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,25.91,0.00,0.00,0.00
2019-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,30.04,0.01,0.00,0.00
2019-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,29.76,0.00,0.00,0.00
2019-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,24.37,0.00,0.00,0.00
2019-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,13.73,0.00,0.00,0.00
2019-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.44,0.17,0.00,0.51
2019-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.18,0.06,0.01,1.76
2020-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.27,0.01,0.00,0.00
2020-02-29,"(37.104153, -113.584131)",era5,1231.65,-7.00,6.14,0.02,0.00,0.00
2020-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.82,0.12,0.01,0.03
2020-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,15.25,0.02,0.00,0.00
2020-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,22.75,0.00,0.00,0.00
2020-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,26.71,0.00,0.00,0.00
2020-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,30.72,0.00,0.00,0.00
2020-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,31.25,0.00,0.00,0.00
2020-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,25.24,0.00,0.00,0.00
2020-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,18.49,0.00,0.00,0.00
2020-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.67,0.01,0.00,0.00
2020-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.60,0.01,0.00,0.00
2021-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.15,0.04,0.02,0.14
2021-02-28,"(37.104153, -113.584131)",era5,1231.65,-7.00,7.06,0.01,0.00,0.00
2021-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.44,0.05,0.02,0.22
2021-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,16.84,0.02,0.00,0.00
2021-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,21.69,0.00,0.00,0.00
2021-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,29.48,0.00,0.00,0.00
2021-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,30.27,0.03,0.00,0.00
2021-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,28.65,0.03,0.00,0.00
2021-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,24.95,0.02,0.00,0.00
2021-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,14.44,0.06,0.00,0.00
2021-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,11.68,0.00,0.00,0.00
2021-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,5.28,0.13,0.02,0.21
2022-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.61,0.00,0.00,1.40
2022-02-28,"(37.104153, -113.584131)",era5,1231.65,-7.00,5.50,0.02,0.01,0.50
2022-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,11.12,0.03,0.00,0.06
2022-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,16.17,0.01,0.00,0.00
2022-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,20.95,0.00,0.00,0.00
2022-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,27.74,0.00,0.00,0.00
2022-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,30.40,0.02,0.00,0.00
2022-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,28.35,0.03,0.00,0.00
2022-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,25.74,0.02,0.00,0.00
2022-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,17.37,0.01,0.00,0.01
2022-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,5.73,0.05,0.00,0.17
2022-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.44,0.05,0.01,0.61
2023-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.43,0.17,0.03,2.23
2023-02-28,"(37.104153, -113.584131)",era5,1231.65,-7.00,3.16,0.07,0.05,5.10
2023-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,6.74,0.15,0.02,4.27
2023-04-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,14.27,0.01,0.00,1.11
2023-05-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,21.36,0.01,0.00,0.00
2023-06-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,24.28,0.00,0.00,0.00
2023-07-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,32.26,0.00,0.00,0.00
2023-08-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,27.71,0.04,0.00,0.00
2023-09-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,23.06,0.03,0.00,0.00
2023-10-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,17.26,0.01,0.00,0.00
2023-11-30,"(37.104153, -113.584131)",era5,1231.65,-7.00,9.55,0.02,0.00,0.00
2023-12-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,6.15,0.00,0.00,0.00
2024-01-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,4.97,0.04,0.01,0.00
2024-02-29,"(37.104153, -113.584131)",era5,1231.65,-7.00,7.45,0.11,0.02,0.28
2024-03-31,"(37.104153, -113.584131)",era5,1231.65,-7.00,12.52,0.00,0.00,0.00
