datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent)
2023-06-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,15.46,0.09,0.00,0.00
2023-07-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,23.10,0.01,0.00,0.00
2023-08-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,20.46,0.07,0.00,0.00
2023-09-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,15.53,0.09,0.00,0.00
2023-10-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,8.51,0.07,0.01,0.08
2023-11-30,"(41.731345, -111.834863)",era5,1787.03,-7.00,1.17,0.06,0.02,4.54
2023-12-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,-2.99,0.08,0.07,47.94
2024-01-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,-2.86,0.12,0.12,85.77
2024-02-29,"(41.731345, -111.834863)",era5,1787.03,-7.00,-0.32,0.13,0.10,130.00
2024-03-31,"(41.731345, -111.834863)",era5,1787.03,-7.00,5.68,0.10,0.02,143.08
